address,latitude,created date,longitude,organisation,classification,name,category,title,type,website,tree common name,tree scientific name,planted date,theme,sub theme,info,female,male,wheelchair,operator,baby_facil
,-37.83086972020156,,144.97472607803533,,,,plaques,united states marine corps,,,Long-leaved Indian Pine,Pinus roxburghii,2000-01-02,,,,,,,,
,-37.83098397331299,,144.9747565854144,,,,plaques,czechoslovak army and air force,,,Lilly Pilly,Syzygium smithii,2000-01-02,,,,,,,,
,-37.83177579247031,,144.9742669241611,,,,plaques,royal australian navy personnel who served in the corvettes on operation ww2,,,Bhutan Cypress,Cupressus torulosa,1998-02-09,,,,,,,,
,-37.83211188501216,,144.9730652646708,,,,plaques,the royal australian air force,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.8283026024875,,144.9729492096157,,,,plaques,5th battalion,,,Brush Box,Lophostemon confertus,2000-01-02,,,,,,,,
,-37.82766730640713,,144.9724015856788,,,,plaques,13th field artillery brigade,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83157098815953,,144.97229005821663,,,,plaques,british expeditionary force,,,English Oak,Quercus robur,2000-01-01,,,,,,,,
,-37.83253227289905,,144.97335781392678,,,,plaques,a.h.s. centaur,,,English Oak,Quercus robur,2010-08-30,,,,,,,,
,-37.830381810546434,,144.9721913852598,,,,plaques,commando squadrons,,,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,,,,,,,,
,-37.82866931446685,,144.97187787708356,,,,plaques,24th australian infantry battalion,,,Snow-in-Summer,Melaleuca linariifolia,1998-07-09,,,,,,,,
,-37.82779704493902,,144.9719341414076,,,,plaques,2/4th australian armoured regimental group,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82963326901276,,144.97213234649556,,,,plaques,headquarters 1st australian corps,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82809570801014,,144.9730233822153,,,,plaques,malta,,,Carob or St Johns Bread,Ceratonia siliqua,2010-10-20,,,,,,,,
,-37.830144948594985,,144.97410531120755,,,,plaques,odd bods u.k. association r.a.a.f.,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.831951823364754,,144.97300169941633,,,,plaques,1st infantry battalions,,,Manchurian Pear,Pyrus ussuriensis,2011-10-06,,,,,,,,
,-37.83145953074976,,144.97428034678956,,,,plaques,allied chinese ships 'ping wo' 'po yang' 'whangpu' 'yunnan',,,Indian Bean Tree,Catalpa bignonoides,1998-04-09,,,,,,,,
,-37.83229818732497,,144.97456452921202,,,,plaques,h.m.a.s. patricia cam,,,Midland Hawthorn,Crataegus laevigata,1998-02-09,,,,,,,,
,-37.828639346974704,,144.97210002350786,,,,plaques,2/21 battalion,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.82826293987767,,144.97195433369384,,,,plaques,2/10th field coy rae,,,Scarlet Oak,Quercus coccinea,2010-08-30,,,,,,,,
,-37.83119464882748,,144.97435212852844,,,,plaques,h.m.a. submarine,,,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,,,,,,,,
,-37.82925813900428,,144.97218636013093,,,,plaques,mercantile marine,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.831422778159975,,144.97498841735108,,,,plaques,royal marines,,,tba,Quercus petraea,1998-04-09,,,,,,,,
,-37.83157187691977,,144.9754573470279,,,,plaques,royal australian navy medical services,,,Bhutan Cypress,Cupressus torulosa,1998-03-09,,,,,,,,
,-37.82959876771948,,144.97396516159287,,,,plaques,anzac battlefield,,,,,,,,,,,,,
,-37.82925090229858,,144.97180809700131,,,,plaques,prisoners of war all the theatres,,,,,,,,,,,,,
,-37.82940300442586,,144.97404732247998,,,,plaques,22nd squadron,,,Brazilian Pepper Tree,Schinus terebinthifolius,2000-01-02,,,,,,,,
,-37.82988367239808,,144.97374774119078,,,,plaques,shrine guard,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.82891758654078,,144.97314416193322,,,,plaques,8th aif battalion 'city of ballarat regiment',,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83127737809137,,144.97442553742977,,,,plaques,h.m.a.s. voyager,,,tba,Cupressus sempervirens Stricta,2000-01-02,,,,,,,,
,-37.82763738438965,,144.9718572779033,,,,plaques,2/5th australian infantry battalion 2nd a.i.f.,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82909399096776,,144.97208439444657,,,,plaques,2/2 australian field regiment,,,Pin Oak,Quercus palustris,1998-07-09,,,,,,,,
,-37.8315861575777,,144.97452196491938,,,,plaques,australian naval & military expedition force,,,Monkey Puzzle Tree,Araucaria araucana,2012-07-03,,,,,,,,
,-37.827848669210404,,144.97184444847898,,,,plaques,2/7th australian infantry battalion aif,,,Queensland Kauri,Agathis robusta,1998-07-09,,,,,,,,
,-37.83262443026546,,144.97294238558305,,,,plaques,"no 2 squadron, royal australian air force",,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83114558134214,,144.97301967541586,,,,plaques,australian and commonwealth service personnel,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.830700085530246,,144.97457221661702,,,,plaques,none,,,English Oak,Quercus robur,1998-04-09,,,,,,,,
,-37.830984409455574,,144.97505437314175,,,,plaques,gurkha soldiers,,,Flame Tree,Brachychiton acerifolius,2011-09-06,,,,,,,,
,-37.82890224818144,,144.97300176460385,,,,plaques,3rd division train army service corps,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83136778456941,,144.97456804546223,,,,plaques,the royal navy and other companions in arms,,,Algerian Oak,Quercus canariensis,1998-04-09,,,,,,,,
,-37.831323727881426,,144.9756270632182,,,,plaques,h.m.a.s. arunta,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.83220416522405,,144.97485092961963,,,,plaques,hmas waterhen,,,tba,Populus x Loch Valley,2000-01-02,,,,,,,,
,-37.83101923912228,,144.97232902477566,,,,plaques,royal australian air force vietnam,,,Pin Oak,Quercus palustris,1998-07-09,,,,,,,,
,-37.83102610678251,,144.9742408452016,,,,plaques,h.m.a.s. kuttabul,,,Golden Poplar,Populus x canadensis Aurea,2010-10-21,,,,,,,,
,-37.832166914661386,,144.9745661878156,,,,plaques,hmas bataan,,,UNKNOWN,UNKNOWN UNKNOWN,2015-04-24,,,,,,,,
,-37.82760125275574,,144.97254825343148,,,,plaques,7th battalion.,,,Moreton Bay Fig,Ficus macrophylla,1998-07-09,,,,,,,,
,-37.82704988109227,,144.97212252083713,,,,plaques,headquarters 4th brigade,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.829141569078274,,144.97224636047963,,,,plaques,2/12 field artillery regiment,,,Pyramid Tree,Lagunaria patersonia,2000-01-02,,,,,,,,
,-37.830291746410595,,144.9742988801904,,,,plaques,legacy garden of appreciation,,,,,,,,,,,,,
,-37.83028476987695,,144.97211382679464,,,,plaques,airborne forces,,,,,,,,,,,,,
,-37.82988838867988,,144.974126531272,,,,plaques,r.a.a.f. malaya,,,Smooth-barked Apple Myrtle,Angophora costata,1998-02-09,,,,,,,,
,-37.828890611123,,144.97175047419984,,,,plaques,2/7th australian field regiment,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.827959221713186,,144.97177518329275,,,,plaques,australia indigenous service men and women,,,Monterey Cypress,Hesperocyparis macrocarpa,2000-01-02,,,,,,,,
,-37.82748940139395,,144.97216013781946,,,,plaques,australian light horse engineers.,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83120921983537,,144.97329800931013,,,,plaques,women's royal australian army corps,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.830062567393824,,144.9742092537742,,,,plaques,royal air force,,,Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,,,,,,,,
,-37.83119128881961,,144.97522551096523,,,,plaques,hmas quiberon,,,Lilly-Pilly,Syzygium floribundum,2000-01-02,,,,,,,,
,-37.82827169114593,,144.9730224292286,,,,plaques,31st battalion,,,Queensland Lacebark,Brachychiton discolor,2010-08-30,,,,,,,,
,-37.83101428486166,,144.97447034142832,,,,plaques,naval association of australia,,,English Elm,Ulmus procera,2000-01-02,,,,,,,,
,-37.82804791550389,,144.97294311374992,,,,plaques,singapore,,,Outeniqua Yellowood,Afrocarpus falcatus,2010-10-20,,,,,,,,
,-37.83143075962261,,144.97444133977382,,,,plaques,australian and american sacrifices in the defence of the pacific,,,English Elm,Ulmus procera,1998-04-09,,,,,,,,
,-37.83169310139106,,144.97304911627035,,,,plaques,22 repair and servicing unit raaf,,,White Poplar,Populus alba,1998-07-09,,,,,,,,
,-37.82796510980705,,144.97267690538854,,,,plaques,ran bridging train,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.83021804438931,,144.9718500116087,,,,plaques,darwin defenders,,,Brush Box,Lophostemon confertus,2010-08-30,,,,,,,,
,-37.828639346974704,,144.97210002350786,,,,plaques,2/8th armoured regiment a.i.f,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.83047867928209,,144.97234791439254,,,,plaques,1st commando regiment,,,Stone Pine,Pinus pinea,2010-08-30,,,,,,,,
,-37.828517978361376,,144.97300125995406,,,,plaques,58th battalion,,,Golden Poplar,Populus x canadensis,1998-07-09,,,,,,,,
,-37.82805567514444,,144.97311116682584,,,,plaques,syria r.a.a.f.,,,Lemon Scented Gum,Corymbia citriodora,2010-08-27,,,,,,,,
,-37.83076173802408,,144.97441577976116,,,,plaques,no. 21 (city of melbourne) squadron,,,Ironbark,Eucalyptus sideroxylon,2014-06-04,,,,,,,,
,-37.82868357226139,,144.97319249039356,,,,plaques,ex-servicewomen's associations (victoria),,,,,,,,,,,,,
,-37.83004200353358,,144.97203594113589,,,,plaques,the melbourne branch of the association of wrens,,,,,,,,,,,,,
,-37.831960245330066,,144.97371081164684,,,,plaques,women's auxiliary australia air force,,,Dutch Elm,Ulmus x hollandica,1998-07-09,,,,,,,,
,-37.82769054106862,,144.97224893209227,,,,plaques,1st divison signal company,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83188577231149,,144.972311208573,,,,plaques,australia's national servicemen,,,Bogong Gum,Eucalyptus chapmaniana,1998-07-09,,,,,,,,
,-37.83196543631162,,144.97541636494722,,,,plaques,war widows' guild,,,Variegated Brush Box,Lophostemon confertus Variegatus,1998-03-09,,,,,,,,
,-37.83059593609015,,144.9720975807512,,,,plaques,commando squadrons,,,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,,,,,,,,
,-37.83046902995829,,144.9745044552407,,,,plaques,netherland's service personnel,,,Flame Tree,Brachychiton acerifolius,2017-04-11,,,,,,,,
,-37.83079014901423,,144.9725272014481,,,,plaques,garden of remembrance,,,,,,,,,,,,,
,-37.831160897106216,,144.9739879877765,,,,plaques,h.m.a.s. yarra,,,Bhutan Cypress,Cupressus torulosa,1998-02-09,,,,,,,,
,-37.82812179036519,,144.97317741370765,,,,plaques,r.a.a.f. north africa,,,Lemon Scented Gum,Corymbia citriodora,2010-08-27,,,,,,,,
,-37.8307037938507,,144.97204974755397,,,,plaques,royal corps of australian electrical and mechanical engineers,,,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,,,,,,,,
,-37.82850285713582,,144.9720342269703,,,,plaques,the rats of tobruk association,,,tba,Ficus carica,2012-10-04,,,,,,,,
,-37.82816397936787,,144.97224142472442,,,,plaques,14/32 aust inf bn (aif),,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.827019870860255,,144.9735146655711,,,,plaques,ian perdriau am,,,,,,,,,,,,,
,-37.827825309473916,,144.97259154341393,,,,plaques,2nd division aust. mech transport company,,,Queensland Kauri,Agathis robusta,1998-07-09,,,,,,,,
,-37.82894543479477,,144.97202960799083,,,,plaques,2/23rd australian infantry battalion,,,Ironbark,Eucalyptus sideroxylon,2005-08-16,,,,,,,,
,-37.83084582148334,,144.971992343412,,,,plaques,h.m.a.s. perth,,,Lilly Pilly,Syzygium smithii,2000-01-02,,,,,,,,
,-37.831295745811026,,144.97353435938422,,,,plaques,467 & 463 raaf lancaster squadrons,,,Bhutan Cypress,Cupressus torulosa,1998-08-09,,,,,,,,
,-37.83226442686982,,144.97265023054786,,,,plaques,461 squadron raaf coastal command the anzac squadron,,,Hedge Maple,Acer campestre,2010-08-30,,,,,,,,
,-37.83118825023703,,144.9731425816418,,,,plaques,no. 11 repair & servicing unit,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.831473685884944,,144.97217114744524,,,,plaques,royal australian corps of transport,,,River Red Gum,Eucalyptus camaldulensis,1998-07-09,,,,,,,,
,-37.82830743544784,,144.9725285827813,,,,plaques,22nd battalion,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.82945767669513,,144.97184208754828,,,,plaques,1st ordnance field park,,,Pyramid Tree,Lagunaria patersonia,2000-01-02,,,,,,,,
,-37.83032609027336,,144.9721426909941,,,,plaques,normandy veterans association,,,Atlas Cedar,Cedrus atlantica,2017-11-03,,,,,,,,
,-37.83102768154598,,144.9745995026191,,,,plaques,naval association of australia,,,Daimyo Oak,Quercus dentata,1998-04-09,,,,,,,,
,-37.83160486641263,,144.9743994236861,,,,plaques,united states navy desron 4,,,Oak,Quercus unknown,1998-04-09,,,,,,,,
,-37.83124298440094,,144.97247458302422,,,,plaques,australian army training team vietnam,,,Golden Poplar,Populus x canadensis,1998-07-09,,,,,,,,
,-37.82850285713582,,144.9720342269703,,,,plaques,siege of tobruk,,,tba,Ficus carica,2012-10-04,,,,,,,,
,-37.8291370529477,,144.9723765764324,,,,plaques,15th field ambulance,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.8288988696379,,144.97244967658702,,,,plaques,135 australian general transport company,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.83113683924828,,144.97493101722557,,,,plaques,h.m.a.s. tingira,,,Lilly-Pilly,Syzygium floribundum,2000-01-02,,,,,,,,
,-37.82782959457114,,144.97247406106885,,,,plaques,14th field company engineers,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.827959648206715,,144.97285168257503,,,,plaques,canada,,,Red Maple / Swamp Maple,Acer rubrum,2010-10-20,,,,,,,,
,-37.828951219087834,,144.9737001944386,,,,plaques,8th field company engineers,,,Flame Tree,Brachychiton acerifolius,2010-08-30,,,,,,,,
,-37.828772431662756,,144.9728786341015,,,,plaques,14th australian general hospital.,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.831342688697845,,144.972214956105,,,,plaques,royal australia army service corps (raasc),,,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,,,,,,,,
,-37.83090144159808,,144.9723805385307,,,,plaques,4th anti-tank regiment malaya,,,Turkey Oak,Quercus cerris,1998-07-09,,,,,,,,
,-37.83183782873909,,144.97483470040402,,,,plaques,h.m.a.s. shropshire,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.82828698093195,,144.97268570613167,,,,plaques,55th battery.,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83225825619569,,144.9746792438686,,,,plaques,"h.m.a.s. ""assault""",,,Midland Hawthorn,Crataegus laevigata,1998-02-09,,,,,,,,
,-37.828686695420366,,144.97319592706003,,,,plaques,sesquicentenary celebration of the state of vict,,,,,,,,,,,,,
,-37.830399606285816,,144.97207875540332,,,,plaques,commando and special forces support units,,,Atlas Cedar,Cedrus atlantica,2010-08-30,,,,,,,,
,-37.82830993024372,,144.97322827839452,,,,plaques,infantry 57th battalion,,,Spotted Gum,Corymbia maculata,2012-09-06,,,,,,,,
,-37.83192975550061,,144.97321170883876,,,,plaques,2/4th light anti-aircraft regiment 9th division a.i.f.,,,London Plane,Platanus acerifolia,1998-07-09,,,,,,,,
,-37.83213732411669,,144.9728731147446,,,,plaques,the australian legion of ex-servicemen and women,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.83139408914615,,144.97204947974228,,,,plaques,royal australian engineers (transportation service),,,River Red Gum,Eucalyptus camaldulensis,1998-07-09,,,,,,,,
,-37.82857184574517,,144.97173886572406,,,,plaques,2/33 battalion,,,UNKNOWN,UNKNOWN UNKNOWN,2000-01-02,,,,,,,,
,-37.82875539181881,,144.97236009726893,,,,plaques,22nd australian infantry battalion,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83232961609321,,144.97328030157766,,,,plaques,2/25th australian infantry battalion 25 brigade - 7 division,,,Chinese Elm,Ulmus parvifolia,2010-08-30,,,,,,,,
,-37.83043897249816,,144.97260112366627,,,,plaques,totally and permanently incapacitated ex-servicemen and women of victoria,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.829183483851835,,144.97374917209865,,,,plaques,india,,,Deodar,Cedrus deodara,1998-07-09,,,,,,,,
,-37.83242149789316,,144.97315246113516,,,,plaques,no 2 airfield construction squadron,,,River Sheoak,Casuarina cunninghamiana,1998-07-09,,,,,,,,
,-37.82926151143797,,144.9716863489285,,,,plaques,prisoners of war,,,Algerian Oak,Quercus canariensis,1998-07-09,,,,,,,,
,-37.82796510980705,,144.97267690538854,,,,plaques,1st royal australian naval bridging train,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.82893297319674,,144.97223741460692,,,,plaques,2/22nd battalion - lark force,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.82818998569766,,144.97293002280037,,,,plaques,south africa,,,Kaffir Plum,Harpephyllum caffrum,2012-10-24,,,,,,,,
,-37.82997566384628,,144.9741184631029,,,,plaques,"1, 8, 21, 453 & h.q. squadrons",,,Brush Box,Lophostemon confertus,1998-02-09,,,,,,,,
,-37.82954925726285,,144.97172823378216,,,,plaques,58th/59th battalion,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.830062567393824,,144.9742092537742,,,,plaques,the royal air force,,,Willow Leaf Peppermint,Eucalyptus nicholii,1998-02-09,,,,,,,,
,-37.82993784987579,,144.9738901006619,,,,plaques,beaufort squadrons,,,Bhutan Cypress,Cupressus torulosa,2006-01-10,,,,,,,,
,-37.82835598396791,,144.97203529425366,,,,plaques,middle east voluntary aid detachment,,,Pyramid Tree,Lagunaria patersonia,2000-01-02,,,,,,,,
,-37.82986090544607,,144.9720590787933,,,,plaques,4th australia field regiment,,,Yellow Gum,Eucalyptus leucoxylon,2010-08-30,,,,,,,,
,-37.82794978271682,,144.97215321466152,,,,plaques,thirtyniners' association of australia,,,Bhutan Cypress,Cupressus torulosa,1998-07-09,,,,,,,,
,-37.82957989603619,,144.97231934669176,,,,plaques,57/60th infantry battalion,,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.832166711860516,,144.97354893179607,,,,plaques,the australian flying corps,,,London Plane,Platanus acerifolia,1998-07-09,,,,,,,,
,-37.831780533454804,,144.97529166351458,,,,plaques,defensively equipped merchant ships,,,Japanese Chestnut Oak,Quercus acutissima,2012-07-03,,,,,,,,
,-37.8309489230909,,144.97216017824692,,,,plaques,2/29 battalion,,,Japanese Chestnut Oak,Quercus acutissima,2010-08-30,,,,,,,,
,-37.83047445879829,,144.9720662528518,,,,plaques,commando squadrons,,,Liquidamber or Sweet Gum,Liquidambar styraciflua,2000-01-02,,,,,,,,
,-37.830362146694775,,144.9723002031415,,,,plaques,2/2 australian infantry battalion,,,Stone Pine,Pinus pinea,2010-08-30,,,,,,,,
,-37.831726895729076,,144.9745781081422,,,,plaques,h.m.a.s. parramatta,,,Algerian Oak,Quercus canariensis,1998-03-09,,,,,,,,
,-37.831473685884944,,144.97217114744524,,,,plaques,royal australian corps of transport (ract),,,River Red Gum,Eucalyptus camaldulensis,1998-07-09,,,,,,,,
,-37.83220816674622,,144.97308830818562,,,,plaques,no. 460 squadron (raaf),,,Spotted Gum,Corymbia maculata,1998-07-09,,,,,,,,
,-37.827953261167444,,144.9720046234248,,,,plaques,2/8th australian field regiment,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.82881385726491,,144.97374076430089,,,,plaques,nursing service & w.a.a.a.f  r.a.a.f.,,,Lemon Scented Gum,Corymbia citriodora,2010-08-27,,,,,,,,
,-37.8311522259104,,144.97217574519863,,,,plaques,h.m.a.h.s. wanganella,,,Holm Oak,Quercus ilex,2011-10-06,,,,,,,,
,-37.82722962235372,,144.97219849378877,,,,plaques,royal australian artillery siege brigade.,,,English Elm,Ulmus procera,1998-07-09,,,,,,,,
,-37.83123205663128,,144.97447836090356,,,,plaques,royal australian naval landing party,,,Cork Oak,Quercus suber,2012-07-03,,,,,,,,
,-37.828789407517824,,144.9719020840633,,,,plaques,2/12 aust. field regiment,,,London Plane,Platanus acerifolia,1998-07-09,,,,,,,,
,-37.829048339091976,,144.97352586123426,,,,plaques,6th battalion,,,Spotted Gum,Corymbia maculata,2000-01-01,,,,,,,,
,-37.83125389683184,,144.97218727765542,,,,plaques,royal australian army nursing corps,,,Algerian Oak,Quercus canariensis,2012-08-03,,,,,,,,
